iso_code,current_cases
ALB,840
DZA,750
AND,45
AIA,2
ATG,2
ARM,407
ABW,8
AUS,9
AUT,2745
AZE,4356
BHR,198
BLR,1878
BEL,4
BIH,739
BGR,577
CPV,27
CHE,4421
HRV,2899
CUW,125
CYP,270
CZE,2654
COD,68
DNK,1745
EGY,418
EST,478
SWZ,6
ESP,8745
FRO,4
FIN,413
FRA,11022
GEO,2501
DEU,12332
GIB,5
GRC,903
HUN,3870
ISL,6
IRL,298
ITA,18887
JEY,96
JOR,2576
XKX,468
LVA,526
LBN,2858
LBY,1051
LIE,40
LTU,1387
LUX,667
MDV,39
MLT,97
MDA,1078
MCO,1
MNE,367
MAR,2919
NAM,128
NLD,6769
MKD,657
MNP,3
PSE,2333
POL,9176
PRT,3834
ROU,5231
SRB,5809
SGP,5
SXM,2
SVK,1269
SVN,1030
SSD,15
SDN,272
TUN,1011
TUR,6093
UKR,13825
GBR,17271